"","date","state","new_cases_norm","new_deaths_norm"
"316",2020-03-05,"Oregon",0,0
"317",2020-03-05,"Rhode Island",0,0
"318",2020-03-05,"Tennessee",0,0
"319",2020-03-05,"Texas",0.0139363863194161,0
"320",2020-03-05,"Utah",0,0
"321",2020-03-05,"Washington",0.371570059999275,0
"322",2020-03-05,"Wisconsin",0,0
"323",2020-03-06,"Arizona",0.0139438003493201,0
"324",2020-03-06,"California",0.0353919257618965,0
"325",2020-03-06,"Colorado",0.105345142289684,0
"326",2020-03-06,"Florida",0.0140849533964104,0.0093899689309403
"327",2020-03-06,"Georgia",0.00950617782731553,0
"328",2020-03-06,"Hawaii",0,0
"329",2020-03-06,"Illinois",0.00784862821676027,0
"330",2020-03-06,"Indiana",0,0
"331",2020-03-06,"Kentucky",0,0
"332",2020-03-06,"Maryland",0,0
"333",2020-03-06,"Massachusetts",0.0724412063547165,0
"334",2020-03-06,"Minnesota",0,0
"335",2020-03-06,"Nebraska",0.051833130493016,0
"336",2020-03-06,"Nevada",0,0
"337",2020-03-06,"New Hampshire",0,0
"338",2020-03-06,"New Jersey",0.022450418251292,0
"339",2020-03-06,"New York",0.112576833048915,0
"340",2020-03-06,"North Carolina",0.00963055273594373,0
"341",2020-03-06,"Oklahoma",0,0
"342",2020-03-06,"Oregon",0,0
"343",2020-03-06,"Pennsylvania",0,0
"344",2020-03-06,"Rhode Island",0.0945791935232168,0
"345",2020-03-06,"South Carolina",0,0
"346",2020-03-06,"Tennessee",0,0
"347",2020-03-06,"Texas",0.010452289739562,0
"348",2020-03-06,"Utah",0.0632690151070591,0
"349",2020-03-06,"Washington",0.145973952142572,0.0132703592856884
"350",2020-03-06,"Wisconsin",0,0
"351",2020-03-07,"Arizona",0.0278876006986402,0
"352",2020-03-07,"California",0.0480318992482881,0
"353",2020-03-07,"Colorado",0,0
"354",2020-03-07,"District of Columbia",0,0
"355",2020-03-07,"Florida",0.0234749223273507,0
"356",2020-03-07,"Georgia",0.0380247113092621,0
"357",2020-03-07,"Hawaii",0,0
"358",2020-03-07,"Illinois",0,0
"359",2020-03-07,"Indiana",0,0
"360",2020-03-07,"Kansas",0,0
"361",2020-03-07,"Kentucky",0,0
"362",2020-03-07,"Maryland",0,0
"363",2020-03-07,"Massachusetts",0.0724412063547165,0
"364",2020-03-07,"Minnesota",0,0
"365",2020-03-07,"Missouri",0,0
"366",2020-03-07,"Nebraska",0,0
"367",2020-03-07,"Nevada",0,0
"368",2020-03-07,"New Hampshire",0.147442825358397,0
"369",2020-03-07,"New Jersey",0,0
"370",2020-03-07,"New York",0.23027079487278,0
"371",2020-03-07,"North Carolina",0,0
"372",2020-03-07,"Oklahoma",0,0
"373",2020-03-07,"Oregon",0.0954491514928367,0
"374",2020-03-07,"Pennsylvania",0.0156163865867732,0
"375",2020-03-07,"Rhode Island",0,0
"376",2020-03-07,"South Carolina",0,0
"377",2020-03-07,"Tennessee",0,0
"378",2020-03-07,"Texas",0,0
"379",2020-03-07,"Utah",0,0
"380",2020-03-07,"Vermont",0,0
"381",2020-03-07,"Virginia",0,0
"382",2020-03-07,"Washington",0.318488622856522,0.0530814371427536
"383",2020-03-07,"Wisconsin",0,0
"384",2020-03-08,"Arizona",0,0
"385",2020-03-08,"California",0.0303359363673399,0
"386",2020-03-08,"Colorado",0,0
"387",2020-03-08,"Connecticut",0,0
"388",2020-03-08,"District of Columbia",0,0
"389",2020-03-08,"Florida",0.00469498446547015,0
"390",2020-03-08,"Georgia",0.0380247113092621,0
"391",2020-03-08,"Hawaii",0.0703981933007671,0
"392",2020-03-08,"Illinois",0.00784862821676027,0
"393",2020-03-08,"Indiana",0.0149434882106338,0
"394",2020-03-08,"Iowa",0,0
"395",2020-03-08,"Kansas",0,0
"396",2020-03-08,"Kentucky",0.0671380954533634,0
"397",2020-03-08,"Maryland",0.0330976888214873,0
"398",2020-03-08,"Massachusetts",0.217323619064149,0
"399",2020-03-08,"Minnesota",0.0178215665549076,0
"400",2020-03-08,"Missouri",0,0
"401",2020-03-08,"Nebraska",0.103666260986032,0
"402",2020-03-08,"Nevada",0.0659110622490436,0
"403",2020-03-08,"New Hampshire",0,0
"404",2020-03-08,"New Jersey",0.022450418251292,0
"405",2020-03-08,"New York",0.0869911891741614,0
"406",2020-03-08,"North Carolina",0,0
"407",2020-03-08,"Oklahoma",0,0
"408",2020-03-08,"Oregon",0.167036015112464,0
"409",2020-03-08,"Pennsylvania",0.0156163865867732,0
"410",2020-03-08,"Rhode Island",0,0
"411",2020-03-08,"South Carolina",0.078676240778407,0
"412",2020-03-08,"Tennessee",0.02954205385221,0
"413",2020-03-08,"Texas",0.0139363863194161,0
"414",2020-03-08,"Utah",0,0
"415",2020-03-08,"Vermont",0,0
"416",2020-03-08,"Virginia",0.0117402791955796,0
"417",2020-03-08,"Washington",0.411381137856341,0.0398110778570652
"418",2020-03-08,"Wisconsin",0,0
"419",2020-03-09,"Arizona",0.0139438003493201,0
"420",2020-03-09,"California",0.151679681836699,0.00252799469727832
"421",2020-03-09,"Colorado",0.0702300948597891,0
"422",2020-03-09,"Connecticut",0.0279903097547629,0
"423",2020-03-09,"District of Columbia",0.427073620374259,0
"424",2020-03-09,"Florida",0.00469498446547015,0
"425",2020-03-09,"Georgia",0.0570370669638932,0
"426",2020-03-09,"Hawaii",0,0
"427",2020-03-09,"Illinois",0.0313945128670411,0
